448*"Table"	5.625428462167928*^135*"Table"
449*"Table"	2.90766759513871*^135*"Table"
450*"Table"	-1.4130821389624005*^136*"Table"
451*"Table"	-5.54606283223784*^136*"Table"
452*"Table"	-1.128411808625152*^137*"Table"
453*"Table"	-1.1996770837803464*^137*"Table"
454*"Table"	9.358045830249354*^136*"Table"
455*"Table"	7.80630139503943*^137*"Table"
456*"Table"	2.0205328100479838*^138*"Table"
457*"Table"	3.020055039662051*^138*"Table"
458*"Table"	1.01006082058172*^138*"Table"
459*"Table"	-9.28378433214873*^138*"Table"
460*"Table"	-3.2743086205121675*^139*"Table"
461*"Table"	-6.275751238993792*^139*"Table"
462*"Table"	-5.892875514664528*^139*"Table"
463*"Table"	7.605531179882476*^139*"Table"
464*"Table"	4.761463366465329*^140*"Table"
465*"Table"	1.1545636865496148*^141*"Table"
466*"Table"	1.6022340649212545*^141*"Table"
467*"Table"	1.967301932302248*^140*"Table"
468*"Table"	-5.970274178198407*^141*"Table"
469*"Table"	-1.9198515972376238*^142*"Table"
470*"Table"	-3.4635013194214135*^142*"Table"
471*"Table"	-2.789100122107099*^142*"Table"
472*"Table"	5.624321105488854*^142*"Table"
473*"Table"	2.877349206684321*^143*"Table"
474*"Table"	6.555051619915777*^143*"Table"
475*"Table"	8.382379470659507*^143*"Table"
476*"Table"	-1.0840599143336904*^143*"Table"
477*"Table"	-3.774587638315926*^144*"Table"
478*"Table"	-1.1182640391243751*^145*"Table"
479*"Table"	-1.895480442537762*^145*"Table"
480*"Table"	-1.2489442853359354*^145*"Table"
481*"Table"	3.9329589169254205*^145*"Table"
482*"Table"	1.7242122459281101*^146*"Table"
483*"Table"	3.6971185189857396*^146*"Table"
484*"Table"	4.31166898854131*^146*"Table"
485*"Table"	-1.8934891821333606*^146*"Table"
486*"Table"	-2.3531420613590983*^147*"Table"
487*"Table"	-6.471750467605602*^147*"Table"
